ReaScript API function,reapy API function
GetMaxMidiInputs,TODO
GetMaxMidiOutputs,TODO
GetMediaItem,TODO
GetMediaItem_Track,TODO
GetMediaItemInfo_Value,Item.get_info_value
GetMediaItemNumTakes,Item.n_takes
GetMediaItemTake,Item.takes;Item.get_take
GetMediaItemTake_Item,Take.item
GetMediaItemTake_Peaks,TODO
GetMediaItemTake_Source,Take.source
GetMediaItemTake_Track,Take.track
GetMediaItemTakeByGUID,TODO
GetMediaItemTakeInfo_Value,Take.get_info_value
GetMediaItemTrack,Item.track
GetMediaSourceFileName,Source.filename
GetMediaSourceLength,Source.length
GetMediaSourceNumChannels,Source.n_channels
GetMediaSourceParent,TODO
GetMediaSourceSampleRate,Source.sample_rate
GetMediaSourceType,Source.type
GetMediaTrackInfo_Value,TODO
GetMIDIInputName,TODO
GetMIDIOutputName,TODO
GetMixerScroll,TODO
GetMouseModifier,TODO
GetMousePosition,TODO
GetNumAudioInputs,TODO
GetNumAudioOutputs,TODO
GetNumMIDIInputs,TODO
GetNumMIDIOutputs,TODO
GetNumTracks,TODO
GetOS,TODO
GetOutputChannelName,TODO
GetOutputLatency,TODO
GetParentTrack,TODO
GetPeakFileName,TODO
GetPeakFileNameEx,TODO
GetPeakFileNameEx2,TODO
GetPlayPosition,TODO
GetPlayPosition2,TODO
GetPlayPosition2Ex,TODO
GetPlayPositionEx,TODO
GetPlayState,Project.play_state
GetPlayStateEx,Project.play_state
GetProjectLength,Project.length
GetProjectName,Project.name
GetProjectPath,Project.path
GetProjectPathEx,Project.path
GetProjectStateChangeCount,TODO
GetProjectTimeOffset,TODO
GetProjectTimeSignature,DEPRECATED
GetProjectTimeSignature2,Project.bpm;Project.bpi
GetProjExtState,TODO
GetResourcePath,get_resource_path
GetSelectedEnvelope,TODO
GetSelectedMediaItem,Project.selected_items;Project.get_selected_item
GetSelectedTrack,Project.selected_tracks;.get_selected_track
GetSelectedTrack2,Project.selected_tracks;.get_selected_track
GetSelectedTrackEnvelope,Project.selected_envelope
GetSet_ArrangeView2,TODO
GetSet_LoopTimeRange,Project.time_selection
GetSet_LoopTimeRange2,Project.time_selection
GetSetAutomationItemInfo,AutomationItem.length;.pool;.position
GetSetEnvelopeState,DEPRECATED
GetSetEnvelopeState2,DEPRECATED
GetSetItemState,DEPRECATED
GetSetItemState2,DEPRECATED
GetSetMediaItemInfo_String,TODO
GetSetMediaItemTakeInfo_String,TODO
GetSetMediaTrackInfo_String,TODO
GetSetProjectAuthor,TODO
GetSetProjectGrid,TODO
GetSetProjectNotes,TODO
GetSetRepeat,TimeSelection.is_looping;.loop;.unloop
GetSetRepeatEx,TimeSelection.looping;.loop;.unloop
GetSetTrackGroupMembership,TODO
GetSetTrackGroupMembershipHigh,TODO
GetSetTrackState,DEPRECATED
GetSetTrackState2,DEPRECATED
GetSubProjectFromSource,TODO
GetTake,TODO
GetTakeEnvelope,TODO
GetTakeEnvelopeByName,TODO
GetTakeName,TODO
GetTakeNumStretchMarkers,TODO
GetTakeStretchMarker,TODO
GetTakeStretchMarkerSlope,TODO
GetTCPFXParm,TODO
GetTempoMatchPlayRate,TODO
GetTempoTimeSigMarker,TODO
GetToggleCommandState,TODO
GetToggleCommandStateEx,TODO
GetTooltipWindow,TODO
GetTrack,Project.tracks
GetTrackAutomationMode,Track.automation_mode
GetTrackColor,Track.color
GetTrackDepth,Track.depth
GetTrackEnvelope,Track.get_envelope
GetTrackEnvelopeByChunkName,Track.get_envelope
GetTrackEnvelopeByName,Track.get_envelope
GetTrackGUID,TODO
GetTrackMediaItem,Track.items
GetTrackMIDILyrics,TODO
GetTrackMIDINoteName,TODO
GetTrackMIDINoteNameEx,TODO
GetTrackMIDINoteRange,TODO
GetTrackName,Track.name
GetTrackNumMediaItems,TODO
GetTrackNumSends,TODO
GetTrackReceiveName,TODO
GetTrackReceiveUIMute,TODO
GetTrackReceiveUIVolPan,TODO
GetTrackSendInfo_Value,TODO
GetTrackSendName,TODO
GetTrackSendUIMute,TODO
GetTrackSendUIVolPan,TODO
GetTrackState,TODO
GetTrackStateChunk,TODO
GetTrackUIMute,TODO
GetTrackUIPan,TODO
GetTrackUIVolPan,TODO
GetUnderrunTime,TODO
GetUserFileNameForRead,TODO
GetUserInputs,TODO
GoToMarker,TODO
GoToRegion,TODO
GR_SelectColor,TODO
GSC_mainwnd,TODO
guidToString,TODO
HasExtState,TODO
HasTrackMIDIPrograms,TODO
HasTrackMIDIProgramsEx,TODO
Help_Set,TODO
image_resolve_fn,TODO
InsertAutomationItem,TODO
InsertEnvelopePoint,TODO
InsertEnvelopePointEx,TODO
InsertMedia,TODO
InsertMediaSection,TODO
InsertTrackAtIndex,Project.add_track
IsMediaExtension,TODO
IsMediaItemSelected,Item.is_selected
IsProjectDirty,Project.is_dirty
IsTrackSelected,Track.is_selected
IsTrackVisible,TODO
joystick_create,TODO
joystick_destroy,TODO
joystick_enum,TODO
joystick_getaxis,TODO
joystick_getbuttonmask,TODO
joystick_getinfo,TODO
joystick_getpov,TODO
joystick_update,TODO
LICE_ClipLine,TODO
Loop_OnArrow,shift
Main_OnCommand,perform_action
Main_OnCommandEx,Project.perform_action
Main_openProject,TODO
Main_SaveProject,Project.save
Main_UpdateLoopInfo,TODO
MarkProjectDirty,Project.mark_dirty
MarkTrackItemsDirty,TODO
Master_GetPlayRate,Project.play_rate
Master_GetPlayRateAtTime,TODO
Master_GetTempo,Project.bpm
Master_NormalizePlayRate,TODO
Master_NormalizeTempo,TODO
MB,TODO
MediaItemDescendsFromTrack,TODO
MIDI_CountEvts,TODO
MIDI_DeleteCC,TODO
MIDI_DeleteEvt,TODO
MIDI_DeleteNote,TODO
MIDI_DeleteTextSysexEvt,TODO
MIDI_EnumSelCC,TODO
MIDI_EnumSelEvts,TODO
MIDI_EnumSelNotes,TODO
MIDI_EnumSelTextSysexEvts,TODO
MIDI_GetAllEvts,TODO
MIDI_GetCC,TODO
MIDI_GetEvt,TODO
MIDI_GetGrid,TODO
MIDI_GetHash,TODO
MIDI_GetNote,TODO
